prepare,준비하다
shoulder,어깨
dance,춤추다
welcome,환영하다
remain,남다
night,밤
want,원하다
toilet,화장실
slow,느린
grade,학년/등급
letter,편지/글자
must,~해야한다
circle,원
another,또다른
enemy,적
prize,상
accident,사고
moment,순간
worth,가치가있는
excuse,변명
tear,눈물/찢다
attack,공격하다
where,어디에
kitchen,부엌
shout,소리치다
popular,인기있는
quiz,퀴즈
receive,받다
think,생각하다
team,팀
tour,여행
kick,차다
watch,보다/시계
purple,보라색
thing,것/물건
through,~을통해
attend,참석하다
castle,성
run,달리다
smell,냄새
mother,어머니
mouse,쥐
view,경치/견해
late,늦은
white,하얀색
school,학교
shoot,쏘다
brush,솔/닦다
palace,궁전
worry,걱정하다
glass,유리
imagine,상상하다
last,마지막
town,마을
wash,씻다
jacket,재킷
weight,무게
telephone,전화기
delicious,맛있는
warn,경고하다
warm,따뜻한
museum,박물관
name,이름
page,페이지
swim,수영하다
next,다음의
memory,기억
shop,가게
color,색깔
truck,트럭
show,보여주다
effort,노력
video,비디오
house,집
wave,파도/흔들다
button,단추
yesterday,어제
pizza,피자
arrive,도착하다
street,거리
now,지금
vote,투표하다
early,일찍
shoe,신발
news,뉴스
green,초록색
race,경주
yes,네
center,중심
start,시작하다
war,전쟁
yet,아직
supper,저녁밥
pair,쌍
way,길/방법
equal,동등한
mouth,입
what,무엇
short,짧은
time,시간
window,창문
play,놀다
leader,지도자
yard,마당
cabbage,양배추
shadow,그림자
happy,행복한
decide,결심하다
program,프로그램
when,언제
put,놓다
climb,오르다
piano,피아노
circus,서커스
season,계절
catch,잡다
enter,들어가다
plan,계획
double,두배의
lesson,수업/교훈
destroy,파괴하다
junior,후배의
moon,달
light,빛/가벼운
phone,전화
slide,미끄러지다
jungle,정글
study,공부하다
artist,예술가
guard,경비원
bright,밝은
exercise,운동
smart,똑똑한
modern,현대적인
protect,보호하다
wealth,부
wallet,지갑
chair,의자
wet,젖은
great,위대한
tennis,테니스
wrong,틀린
shirt,셔츠
garden,정원
travel,여행하다
certain,확실한
board,판자/탑승하다
small,작은
shut,닫다
quick,빠른
luck,행운
monkey,원숭이
tell,말하다
husband,남편
simple,단순한
listen,듣다
cloud,구름
major,주요한
whale,고래
zone,구역
bear,곰
group,그룹
banana,바나나
rain,비
violin,바이올린
king,왕
island,섬
kind,친절한/종류
tree,나무
history,역사
water,물
important,중요한
market,시장
rainbow,무지개
square,정사각형
twice,두번
cereal,시리얼
outside,바깥쪽
keep,지키다
eagle,독수리
skate,스케이트
daughter,딸
sugar,설탕
soap,비누
who,누구
tent,텐트
why,왜
captain,선장
point,점/요점
general,일반적인
alone,혼자
east,동쪽
sad,슬픈
clown,광대
sheet,시트/한장
hospital,병원
win,이기다
park,공원
sheep,양
ceiling,천장
rest,휴식
soccer,축구
amount,양
butter,버터
move,움직이다
album,앨범
clear,맑은
sandwich,샌드위치
say,말하다
enough,충분한
clean,청소하다
shine,빛나다
afternoon,오후
meal,식사
sock,양말
third,세번째
build,짓다
favor,호의
mean,의미하다
meat,고기
attention,주목
front,앞
visit,방문하다
hurry,서두르다
plane,비행기
parent,부모
stupid,어리석은
bring,가져오다
awake,깨어있는
robot,로봇
path,길
trip,여행
record,기록하다
honest,정직한
giant,거인
jump,점프하다
soft,부드러운
happen,일어나다
grow,자라다
sure,확실한
pass,합격하다
festival,축제
mile,마일
past,과거
milk,우유
active,활동적인
angry,화난
easy,쉬운
route,경로
puppy,강아지
peace,평화
plant,식물
drive,운전하다
brother,형제
hurt,다치게하다
mirror,거울
strong,강한
admire,존경하다
soil,흙
bottle,병
tomato,토마토
sea,바다
search,찾다
see,보다
grass,잔디
hotel,호텔
term,기간/용어
wedding,결혼식
tooth,이빨
mind,마음
set,놓다
business,사업
tail,꼬리
possible,가능한
right,오른쪽/옳은
battle,전투
answer,대답
meet,만나다
stage,무대
borrow,빌리다
river,강
under,아래에
spider,거미
promise,약속
thunder,천둥
hold,잡다
habit,습관
talk,말하다
tall,키가큰
train,기차
which,어느
dolphin,돌고래
image,이미지
journey,여행
test,시험
planet,행성
count,세다
grape,포도
brown,갈색
never,결코~않다
take,가져가다
knife,칼
month,달(월)
piece,조각
final,마지막의
carry,나르다
elephant,코끼리
party,파티
little,작은
some,약간의
deep,깊은
title,제목
miss,놓치다/그리워하다
lemon,레몬
skill,기술
trouble,문제
class,수업
human,인간
just,방금/공정한
notice,알아차리다
prince,왕자
sit,앉다
over,넘어서
midnight,자정
custom,관습
grand,웅장한
dinner,저녁식사
home,집
hole,구멍
fork,포크
print,인쇄하다
beach,해변
farmer,농부
iron,철/다리미
blanket,담요
fresh,신선한
tunnel,터널
explain,설명하다
basket,바구니
feather,깃털
very,매우
lunch,점심
practice,연습하다
crowd,군중
sick,아픈
hope,희망하다
soon,곧
thick,두꺼운
melt,녹다
balance,균형
corner,모퉁이
action,행동
lock,잠그다
model,모델
join,참여하다
text,본문/문자
crown,왕관
fear,두려움
sentence,문장
sky,하늘
song,노래
cookie,쿠키
issue,주제/발행하다
large,큰
metal,금속
tomorrow,내일
statue,동상
cream,크림
sense,감각
heavy,무거운
field,들판
hello,안녕
begin,시작하다
become,~이되다
thief,도둑
skin,피부
stamp,우표
plate,접시
cycle,순환
summer,여름
eight,여덟
library,도서관
world,세계
laundry,세탁
member,회원
nurse,간호사
ability,능력
man,남자
camera,카메라
stand,서다
map,지도
table,탁자
together,함께
side,옆
break,깨다/휴식
change,변화
strike,치다
health,건강
joke,농담
machine,기계
candle,양초
report,보고하다
evening,저녁
return,돌아오다
mail,우편
subject,주제/과목
use,사용하다
sign,표지판/서명
angel,천사
office,사무실
serve,제공하다
while,~동안
radio,라디오
second,두번째/초
smile,미소
that,저것
son,아들
skirt,치마
than,~보다
terrible,끔찍한
waste,낭비하다
citizen,시민
contest,대회
level,수준
meter,미터
feeling,느낌
fill,채우다
dentist,치과의사
heart,심장/마음
forget,잊다
dish,접시/요리
dream,꿈
true,진실한
valley,계곡
position,위치
present,선물/현재
curtain,커튼
birthday,생일
behind,뒤에
soup,수프
belong,~에속하다
stair,계단
hammer,망치
candy,사탕
student,학생
mental,정신의
sour,신
switch,스위치
total,전체의
oil,기름
repeat,반복하다
make,만들다
fight,싸우다
zebra,얼룩말
pretty,예쁜
chance,기회
nature,자연
social,사회의
wheel,바퀴
cross,건너다
cousin,사촌
master,주인
orange,오렌지
puzzle,퍼즐
earth,지구
biscuit,비스킷
fence,울타리
salad,샐러드
nation,국가
rocket,로켓
about,대하여
paint,그리다
danger,위험
scene,장면
cover,덮다
clever,영리한
friend,친구
fire,불/해고하다
stick,막대기/붙다
august,8월
old,늙은/오래된
taxi,택시
then,그때
tiger,호랑이
accept,받아들이다
labor,노동
morning,아침
horse,말
seat,좌석
animal,동물
autumn,가을
bridge,다리
shower,샤워
seed,씨앗
believe,믿다
sun,태양
long,긴
remember,기억하다
mix,섞다
key,열쇠
calendar,달력
dirty,더러운
silent,조용한
middle,중간
storm,폭풍
star,별
though,비록~일지라도
wolf,늑대
store,가게
many,많은
people,사람들
flower,꽃
stay,머무르다
actually,실제로
appear,나타나다
diary,일기
pull,당기다
subway,지하철
afraid,두려워하는
fish,물고기
invite,초대하다
to,~로
open,열다
story,이야기
country,나라/시골
symbol,상징
wool,양털
project,프로젝트
seven,일곱
express,표현하다
inside,안쪽
zero,0
amazing,놀라운
wood,나무/목재
up,위로
surprise,놀라움
usual,보통의
this,이것
please,제발
look,보다
thin,얇은
korea,한국
ocean,대양
desk,책상
solve,해결하다
know,알다
sing,노래하다
allow,허락하다
drop,떨어뜨리다
knock,노크하다
idea,생각
father,아버지
donkey,당나귀
rule,규칙
pure,순수한
vegetable,채소
life,삶
speed,속도
poem,시
common,흔한
honey,꿀
wonder,궁금해하다
every,모든
twin,쌍둥이
figure,모양/숫자
wide,넓은
again,다시
teach,가르치다
guitar,기타
stone,돌
money,돈
step,걸음
reach,도달하다
whole,전체의
during,~동안
type,유형/타자치다
problem,문제
road,길
price,가격
sight,시력/광경
weather,날씨
teeth,이빨들
asleep,잠든
between,사이에
guide,안내하다
still,여전히
wife,아내
work,일하다
lose,잃다
push,밀다
pride,자부심
force,힘
breakfast,아침식사
word,단어
love,사랑
steel,강철
south,남쪽
thumb,엄지손가락
tongue,혀
church,교회
north,북쪽
wear,입다
enjoy,즐기다
secret,비밀
weak,약한
rock,바위
across,가로질러
ghost,유령
noon,정오
dark,어두운
course,과정/코스
place,장소
power,힘
finger,손가락
loud,시끄러운
include,포함하다
sell,팔다
tired,피곤한
juice,주스
leaf,나뭇잎
nice,멋진
opinion,의견
expect,기대하다
help,돕다
soldier,군인
first,첫번째
magic,마법
voice,목소리
dress,드레스
perfect,완벽한
onion,양파
sound,소리
harbor,항구
drum,북
tight,꽉끼는
space,우주/공간
theater,극장
only,오직
discover,발견하다
spell,철자를쓰다
proud,자랑스러운
bench,벤치
like,좋아하다
bottom,바닥
excite,흥분시키다
ugly,못생긴
person,사람
safe,안전한
ground,땅
send,보내다
note,메모/음표
week,주
sail,항해하다
advice,충고
snake,뱀
scale,규모/저울
winter,겨울
paper,종이
public,공공의
ready,준비된
spend,쓰다/보내다
stove,난로
alarm,경보기
station,역
steam,증기
zoo,동물원
track,트랙/자국
village,마을
value,가치
player,선수
nose,코
factory,공장
balloon,풍선
will,~할것이다
match,시합/성냥
smoke,연기
follow,따르다
rush,돌진하다
clothes,옷
expensive,비싼
trade,무역
round,둥근
challenge,도전
temple,절/신전
wild,야생의
apple,사과
